EPID,PartNumber
114893734,447145
114917984,447156
114923544,441032
114954686,441760
114980486,444749
114983684,441122
114998654,447123
115006656,441111
115009466,441115
115018788,447180
115039608,447132
115041867,441415
115047918,441102
115049276,447139
115050724,444503
115053757,444227
115055184,447133
115061504,447116
115063014,447157
115063917,444801
115068298,447152
115069788,447129
115078207,441110
115082238,441770
115086677,447120
115102997,441984
115109086,447177
115123878,447111
115128906,444759
115131898,441757
115284494,444034
115321636,444741
115366267,447150
115370838,444226
115405998,441121
168641914,337253
168655546,445209
168661616,338349
168682846,447240
168683776,458012
168700306,445618
168700357,445215
168706864,334199
168717517,445413
168721136,445410
168721597,445611
168727818,339353
168770916,445294
168778694,445650
168792328,339474
168795354,339374
168797854,447244
168799796,445218
168819287,338365
168840294,339226
168843067,338872
168857207,447253
168857306,337250
168861098,339456
168862767,445300
168864027,445296
168888986,339269
168892914,458380
168896126,338255
168901748,338366
168911454,339225
168913634,445501
168920934,334244
168924764,338863
168928807,339300
168929796,334283
168929864,447173
168936537,333313
168940986,458038
168960664,458381
168964357,338686
168968918,447230
168970068,339438
168975348,339256
168980406,338441
168986537,339233
168989398,339373
168990804,337202
169008194,338180
169008274,445633
169011507,338361
169016906,458070
169020434,339289
169021828,339894
169038608,447198
169039927,458072
169064254,339452
169080007,445221
169085806,339242
169087304,337385
169100468,334757
169115274,339275
169136547,339273
169139176,447215
169139467,339767
169139527,337338
169152724,445415
169163436,339234
169173774,458053
169184618,338656
169195208,333897
169200116,458068
169202507,334302
169237147,445280
169237778,458001
169241424,333387
169249427,445205
169262114,337339
169277177,445468
169287196,337341
169289677,458008
169308606,333386
169315326,447221
169330376,334826
169342894,447219
169364487,447217
169379296,337875
169386964,447220
169392788,445499
169396796,445610
169397677,339376
169409858,338683
169421856,445295
169429616,337302
169430466,445620
169436366,447194
169442398,337768
169443646,458052
169443986,339283
169444974,445204
169455986,338758
169460767,337663
169461764,445279
169473274,339221
169482576,445640
169485177,337829
169487924,445402
169487977,339669
169490718,337866
169500897,339223
169503878,445470
169522674,337874
169527214,447199
169544258,447185
169544716,447172
169552577,445211
169584528,447216
169590396,338698
169604316,339213
169610906,333320
169612336,337867
169638737,458030
169649628,339271
169661838,445632
173838044,454032
173881947,447235
173898466,447211
173902627,454007
173909486,447229
173911906,454043
173947754,447267
173977084,447284
174026587,447213
174044686,447224
174072426,447210
174096088,447197
174134724,447251
174196567,447252
174206238,447214
174233647,447278
174257014,451002
