EPID,PartNumber,,,
109942144,23460,,,
109948264,49430,,,
109966164,93367,,,
109966214,23766,,,
109966334,22615,,,
109966344,49731,,,
109967371,93345,,,
109967401,23383,,,
109968071,23250,,,
109968154,93441,,,
109968164,23163,,,
109973761,23946,,,
109976112,23374,,,
109976642,22769,,,
109980925,93478,,,
109980995,49865,,,
109982832,23785,,,
109986664,49299,,,
109986674,23835,,,
109986694,49485,,,
109987415,23409,,,
109991601,49689,,,
109991701,49314,,,
109991711,23706,,,
109991731,49115,,,
109998106,93266,,,
109998556,23523,,,
109998646,93195,,,
109998676,93325,,,
110000152,49531,,,
110000312,93269,,,
110000352,23637,,,
110002152,93297,,,
110004644,93414,,,
110004946,49457,,,
110005046,49660,,,
110005269,23427,,,
110005339,23274,,,
110005365,23365,,,
110005476,49950,,,
110005486,93216,,,
110005509,23802,,,
110005575,93384,,,
110007275,23654,,,
110007332,49804,,,
110007365,93146,,,
110007385,49665,,,
110012641,23796,,,
110012681,49480,,,
110013654,49764,,,
110018724,49348,,,
110018734,49341,,,
110020890,23358,,,
110021452,93289,,,
110021532,23498,,,
110022386,93610,,,
110022426,23319,,,
110022536,49144,,,
110022596,50828,,,
110024316,23639,,,
110024326,23826,,,
110024893,23474,,,
110025062,49579,,,
110025203,23757,,,
110025443,93212,,,
110026169,49976,,,
110026179,23337,,,
110026199,93994,,,
110026319,46773,,,
110026349,23872,,,
110026409,93106,,,
110026429,23990,,,
110026615,49316,,,
110026625,22931,,,
110026635,49876,,,
110026655,49572,,,
110026675,49611,,,
110026685,49687,,,
110026715,93428,,,
110026725,93252,,,
110026735,23617,,,
110026805,93286,,,
110027950,49468,,,
110029391,22761,,,
110029401,23541,,,
110029411,49370,,,
110029421,93278,,,
110029441,93137,,,
110029467,23244,,,
110029571,50881,,,
110029627,93629,,,
110030027,49208,,,
110035887,49159,,,
110038218,49887,,,
110039204,49225,,,
110039231,50216,,,
110039301,49960,,,
110039304,49911,,,
110039331,49479,,,
110039341,23135,,,
110039511,50874,,,
110039521,23149,,,
110039774,49691,,,
110039932,50812,,,
110039982,49347,,,
110039992,93111,,,
110040074,23219,,,
110040094,23896,,,
110042216,49263,,,
110043013,49511,,,
110044029,23406,,,
110044209,23455,,,
110044275,93181,,,
110044365,49906,,,
110044375,49168,,,
110044385,23338,,,
110044475,50803,,,
110044483,49939,,,
110044721,49647,,,
110044761,50880,,,
110044771,27303,,,
110045596,23717,,,
110045730,49284,,,
110045840,23147,,,
110046000,93439,,,
110046024,49789,,,
