EPID,PartNumber
227040265,192611663650
227245264,173437289264
227474487,192611663838
227223975,192611663762
227479819,192611663846
228004093,192611663910
227637133,192611663546
227090031,382530207740
235986666,382530207786
235921902,173437289012
228178788,173437289119
227859305,192611663714
230306084,382530207991
230447389,382530208003
227220910,173437289031
227799201,173437289145
227402982,382530207803
227939916,173437289583
227042346,192611664055
227623169,192611664095
227965709,382530208062
228034248,173437289690
227551904,192611664032
236080678,173437289841
75809373,192611664065
227582188,382530208215
228053268,192611664155
227632890,382530207709
235567232,173437289430
235924992,173437289497
236192391,382530207750
228231448,173437289288
228041165,173437289371
227016101,173437289475
227430965,192611663918
228042889,382530207711
227796891,192611663623
228138635,382530207835
228095257,192611663784
228034573,192611663847
235634606,192611663567
228039672,192611663858
228114590,173437289141
228057762,382530207802
227210347,192611663758
235624874,173437289386
235945306,382530208096
227442082,192611663906
227472570,192611663946
227914134,173437289693
227064107,173437289759
226999009,173437289847
227022287,382530208223
235580415,382530207784
227041454,382530207830
236388753,173437289352
228069126,382530207966
228042862,173437289534
227256843,192611663941
235799121,173437289035
227466020,382530207760
228166194,192611663709
227910514,192611663761
235727028,192611663811
227470606,382530207986
227492512,192611664035
227960182,173437289838
227041434,173437289912
235959590,173437289395
227499571,192611663877
228037839,192611663626
227916710,173437289222
236289324,192611663763
227561938,382530207939
228197098,192611663870
227039726,173437289040
226985972,192611663642
228098940,382530207797
227632260,173437289296
228116718,382530207921
235727668,173437289471
235635796,173437289245
236174321,192611663781
228163976,382530207962
228164218,173437289566
227245354,192611663958
236054683,382530208117
228004133,173437289592
235568342,192611664157
227651736,173437289381
227487420,173437289473
227949617,173437289043
235981015,192611663662
227430251,192611663724
227908335,192611663773
228052757,192611663832
227912479,173437289504
227500582,382530207716
228085220,382530207756
227616635,382530207800
227462016,173437289415
227657653,173437289488
227660058,382530208148
228115278,192611664076
227197764,192611664106
235605030,173437289971
227051159,173437290030
228125104,192611664251
227986243,192611663572
227935037,173437289130
227482994,192611663703
228114940,382530207867
236327177,192611663805
227190585,192611663863
227944971,192611663576
227940974,382530207748
228130534,382530207791
