EPID,PartNumber
168854036,22616
169266314,22626
169228466,22629
169435043,22635
168983813,22640
168721586,22757
169597569,22766
169570573,22915
168907905,22931
169464444,22957
191402272,23002
191743562,23137
192040779,23149
192739493,23194
168636111,23221
169343134,23222
169241738,23228
169242839,23229
168937478,23243
168678772,23244
169388961,23255
168705406,23258
192618681,23281
191776528,23288
169482442,23298
168682012,23311
168992952,23312
169026253,23313
169406557,23315
168884664,23320
169480116,23329
169039227,23335
169115694,23343
169084170,23345
169476029,23353
169052555,23354
169181311,23356
169175012,23376
169131475,23387
168858303,23405
169660218,23410
169101697,23414
169315588,23422
168684094,23450
169096009,23451
169688633,23457
169533001,23466
168875396,23468
169283947,23470
168950266,23473
169254987,23483
169483323,23484
168955065,23498
169017701,23520
168862757,23533
169231451,23535
169018659,23541
169083631,23630
169373221,23634
169351795,23635
169138598,23652
169421754,23654
169539636,23682
168724117,23684
168857689,23696
169536624,23697
169314267,23699
168932201,23700
169067476,23704
169513966,23749
169425873,23750
168726421,23766
169560734,23773
169297386,23874
168994669,23875
169407900,23886
169479110,23896
168685299,23908
169576499,23967
169442264,23975
192486004,24040
192865926,24064
191490215,24074
191853250,24089
210275247,24243
187899094,24327
215122374,24349
191602160,24470
192058161,24990
191172989,25206
169303973,25207
192705610,25209
168902441,26207
169205477,27402
168962905,27405
193159986,49085
169242786,49202
168658912,49310
169486918,49316
192918902,49388
169434525,49445
169111839,49504
168797711,49526
169233962,49564
169335242,49579
169017981,49694
190083792,49885
187806634,49909
168695866,50212
168951723,50217
192703131,50260
193485551,50290
190243709,50317
188806634,50350
192185234,50380
168728158,50602
169425633,50603
191448972,50708
192596027,50740
168845374,50802
169228737,50806
169275590,50833
169213521,50845
169410216,50864
169181879,50871
193723531,51260
192157876,51445
218515320,51596
230461624,51602
191647847,51640
193504067,51760
191405537,51804
230104683,51842
168781504,93104
169572459,93129
168657091,93135
169115629,93137
168866939,93144
169056210,93150
168815499,93152
169378314,93154
169501592,93161
169272922,93163
168747327,93166
168726103,93168
169485455,93177
169665130,93195
169358922,93223
169166142,93230
169166142,93230
169464384,93273
168812799,93300
169169760,93323
169206868,93344
169320986,93369
169050422,93372
169615498,93379
169065321,93393
169428913,93436
169008786,93456
168752211,93484
169474494,93601
168721626,93602
169480783,93614
169567620,93616
169496117,93649
168859705,93655
