EPID,PartNumber
169348061,15160
174691333,18982
81020631,16869
210181374,15363
174819828,15237
169286280,15178
179326311,15268
215138052,19100
180135402,15267
230430468,19291
112784015,15596
79373579,15896
178977296,15269
236484178,19350
215145249,19054
243273481,18955
74603797,15894
75332061,15816
74546670,16829
76931116,15815
174550148,18998
214770536,19080
115303576,17143
215013432,19200
214894424,19101
215103146,19026
230189661,19327
76675886,15620
174023844,18980
81099260,16520
75484624,15684
76973413,15899
214940776,15318
169078299,15145
215996954,19097
222751134,15357
79208492,15893
174252803,18951
76497345,16643
110251150,16724
75755803,16732
168865973,15155
214915605,15333
227245264,10702
236335951,19362
215048412,19027
243577776,18956
214919949,15359
140187704,16792
214788644,19191
81106385,16518
243697487,18945
174913829,15236
76828020,15781
75791206,15811
230113558,19304
227474487,10703
112731290,15565
76435738,15658
229994440,19303
110361222,17122
179655780,17146
210239404,19174
168612141,15157
76528597,15898
115336807,17144
210369671,15361
110296746,17115
217567256,19232
76463819,15666
174201315,15239
76340998,16630
112926389,15068
215099163,19103
210235614,15366
243578372,18953
76961952,16605
215078383,19177
76915476,15630
194791874,15306
79472633,15671
81782919,16870
238065386,17064
110267625,17114
75733342,15644
216019031,15360
112719783,15588
75710567,15750
74530131,15792
174606308,18999
76034789,16837
215243200,19099
214778322,19203
74923973,15673
76032981,15855
236515747,18941
110009239,16929
75428532,15819
214761602,15367
93789480,16507
237810491,17870
216001262,19018
215113361,19181
174152829,15165
75668794,15677
79126490,15717
75437811,16656
222631201,19254
239393199,19361
76251969,15882
80941424,16523
76457785,16723
215245888,18931
214718431,19079
235805459,19346
110166199,15521
110343144,17120
215112877,19206
174872492,15215
180247748,15270
216129427,15353
78918316,15628
74856621,15632
214861765,19053
75408335,15638
110219701,15715
76618832,15712
76527326,16707
74293119,16726
79294842,15770
74543419,15789
76898421,16601
215032034,17872
115412497,17982
222916574,19255
75979108,16817
210281783,15344
112676376,15461
76021952,15897
76058733,16625
215089660,19216
229987055,19293
115331497,15064
169571258,16386
115307094,17994
216109556,19218
76584012,16649
112754396,15090
194940498,15304
214694231,15354
115318215,15115
79049815,16741
230386536,19326
216562848,15350
230102635,19312
109966279,15564
76257822,15851
110133810,17107
214809914,15355
81218410,16888
202779531,17959
81482566,16535
227284741,15279
112642503,16996
169385631,15177
76973300,16830
216054152,17067
110179445,17102
215058759,19019
174102568,15238
76482022,15609
76714325,15623
75170490,15746
75979536,16673
110230060,17125
230287855,19335
75897116,15832
75368408,16450
238517881,19373
112637994,15072
174557253,15576
74280726,15679
76144620,15714
75204033,16692
215077745,19217
194801530,15305
110056597,15580
75960387,15693
110023427,17118
214943607,17873
216457006,15330
110113094,15582
214850551,19159
210228835,19179
110213857,15595
76182371,15881
110310331,16390
75721072,16631
76308362,16747
76446777,16822
216110813,17068
230476670,19331
79310935,15665
218961899,19154
174736401,15230
75400438,15701
74320584,15745
243484225,17069
238510882,19372
81656937,16537
75777947,16642
74602361,16699
112657756,16710
74507108,15754
74632616,15852
76923623,16727
75147530,16834
76734276,15854
75460854,16740
230388747,19330
243211241,19383
79456596,15778
75190989,15862
76818195,16687
75525832,16788
76700247,17979
174467739,18911
238110536,19367
230374813,19343
238045772,19364
74493505,16667
81149956,16711
93714206,16917
112710876,17119
214833648,15278
75461207,15863
74330863,16672
214929042,19135
214952173,19209
179323917,15281
77021727,15699
75510220,15749
76851294,15757
76176799,15829
81372663,16564
236437194,17867
215022719,19198
210201449,15329
76137935,15809
78905310,15886
76211384,16622
75530976,16645
76662507,16665
75322194,16820
75583195,17922
174555508,18913
214922197,19052
214989009,19190
222862662,19237
222897487,19256
112625234,15000
174611307,15194
202935823,15227
75140208,15764
74996365,15808
79019201,15856
230083753,19324
169571156,15127
194877901,15297
74424007,15646
76688991,15744
76132085,16640
81554154,16884
78865735,16973
238010462,17063
214985276,17200
210296267,17864
169551567,15150
194730426,15245
75667697,15734
75584830,16695
81530347,16734
77136561,16761
74397854,16871
110430503,17126
203030127,17147
237884262,17976
214861795,19131
222763712,19265
230281498,19345
169149947,15149
194858421,15294
203056018,15327
93708084,15599
75046961,15694
75090363,15859
75886562,16641
79255978,16700
115345645,16729
81221611,16764
77044119,16795
76856966,16842
174166006,18922
230463455,19281
79305318,15602
76189219,15629
76786233,15772
75539428,15843
78963419,15895
77095013,16675
74877726,16679
238140383,18944
174754364,18981
112643484,15089
76113987,15659
74562247,15669
74907940,15724
74979241,15741
76875615,15861
81069175,16533
80946492,16586
75944204,16674
81214588,16713
76021553,16772
75970780,16861
75246720,16862
76706283,16883
110151109,17121
222886314,19266
115285264,15116
115376953,15117
79449662,15771
77157057,15869
74237084,15889
112635200,16483
76473782,16668
76272783,16793
215049819,19040
235426425,19348
236541930,19359
169283678,15151
174876503,15203
194944116,15315
75610310,16602
76285772,16833
210427336,17052
110072123,17108
115340189,17998
216046239,18933
169386370,15152
