EPID,PartNumber
74259245,15702
74259299,15670
74260935,17911
74274293,16908
74279723,15798
74294622,15759
74295182,16758
74324310,15663
74330528,16844
74331017,15656
74335299,16849
74337106,16813
74343223,16648
74348594,16652
74360117,15753
74370090,15839
74375042,16664
74375211,15883
74390508,16683
74411177,16825
74417650,15957
74419484,16936
74423493,16669
74423732,16694
74427206,15618
74435752,15802
74436387,16999
74447160,16865
74448908,16752
74458075,16879
74461931,16615
74473306,16783
74483430,16709
74495206,16874
74512475,16627
74533676,16751
74540211,15877
74543549,15842
74547303,16633
74564987,16831
74574666,15700
74588187,15653
74596283,16697
74638478,15751
74645850,16606
74829394,15696
74840954,15779
74852731,15739
74857104,17972
74863376,15718
74872819,16846
74874884,15820
74875966,16609
74886289,16877
74886515,15721
74892454,16940
74899109,16698
74933408,15782
74956465,15823
74956938,16982
74964155,16618
74968429,16955
74970668,16680
75001398,15884
75002578,16858
75004057,16882
75007649,15648
75016965,16961
75017608,15866
75034199,16635
75047749,16445
75068112,16702
75069606,15617
75074982,15691
75078505,15858
75117052,15800
75149501,16623
75166842,15828
75173347,16621
75176973,16859
75206766,15681
75215221,17956
75241573,16789
75262272,15818
75271803,16728
75292759,16763
75319209,16722
75322622,15713
75330193,16932
75330346,16914
75335116,16848
75337377,16987
75343117,15680
75368318,15860
75371873,16974
75374214,15687
75378277,17973
75378451,15762
75390655,16773
75396204,16843
75400786,16676
75406679,16981
75432665,15837
75441107,16794
75443570,15857
75458009,15868
75460480,15647
75472079,16815
75487861,16632
75488278,15738
75509471,15728
75519024,16646
75540269,15838
75544116,16881
75573015,16637
75577217,16434
75588993,15662
75591463,16828
75595007,16684
75607868,16657
75612343,15660
75621985,16863
75629261,15690
75629591,16864
75702812,15849
75719668,16997
75736827,16771
75740553,15794
75745517,15697
75750739,17903
75774568,16636
75779322,15987
75819623,16790
75820328,15736
75821457,15651
75831039,16411
75851932,16832
75859445,16821
75872903,15812
75878455,16607
75892150,17927
75899206,16666
75913026,16654
75913574,16779
75924912,16918
75932260,15682
75935309,15668
75943433,16875
75945262,15643
75970468,15776
75977773,15686
75982673,15847
75983946,15640
75994601,16693
75997712,15963
76008961,16836
76009592,15716
76039438,16901
76051431,15890
76074076,15867
76080094,16658
76101157,16613
76113296,16720
76119513,15810
76167479,15968
76176766,16966
76205165,16600
76223640,16960
76224992,15845
76227548,15791
76240325,15787
76257511,16624
76263406,16682
76272419,15786
76279832,16446
76281731,15661
76287235,16655
76293767,15848
76312376,16998
76320123,16759
76324536,15805
76345254,15755
76346314,17984
76347121,15664
76382138,16906
76383209,15880
76414182,16931
76423891,16651
76436101,16443
76442598,16774
76453885,15727
76474656,15437
76480334,16948
76488265,15826
76507782,15773
76511389,16878
76530376,15710
76546320,17915
76586248,16604
76587317,16782
76614029,15730
76636820,15657
76650332,16603
76652693,15783
76658423,16647
76674352,15652
76679393,16824
76681609,15761
76686049,16689
76711662,16965
76725543,15735
76742876,16659
76745773,16944
76745994,17923
