EPID,PartNumber
227040265,10701
112625234,15000
169286307,15070
115085031,15077
112673282,15082
112612838,15083
112711527,15085
112894457,15087
112643484,15089
112754396,15090
112892229,15092
112558941,15093
112803842,15101
115285264,15116
115376953,15117
115302561,15118
115315219,15119
169571156,15127
168914990,15132
169233185,15136
115323986,15137
115380980,15138
169495814,15139
169526672,15146
169149947,15149
169551567,15150
169283678,15151
169386370,15152
168857110,15154
169342802,15158
227541985,15167
169136738,15176
168763880,15181
174611307,15194
174876503,15203
174493188,15211
174212791,15218
202935823,15227
174068832,15229
194730426,15245
191037517,15249
187949563,15250
216145653,15277
179448419,15290
194858421,15294
194820841,15310
194944116,15315
203056018,15327
210201449,15329
210280532,15351
215119873,15356
210297128,15362
215151652,15365
214899660,15369
168723160,15380
76474656,15437
112778907,15458
112817783,15460
112959448,15467
112711670,15482
112742384,15498
110375808,15551
112753158,15557
110383116,15563
110339570,15579
110081697,15583
109985575,15584
110417967,15589
110107198,15591
110050326,15592
110081195,15593
110060349,15598
93708084,15599
79305318,15602
74427206,15618
76189219,15629
75983946,15640
75007649,15648
76113987,15659
74562247,15669
75977773,15686
75046961,15694
74829394,15696
75322622,15713
76009592,15716
74863376,15718
74907940,15724
75667697,15734
77032190,15740
74979241,15741
76927455,15743
76688991,15744
74320584,15745
75510220,15749
74360117,15753
76345254,15755
74294622,15759
110115317,15769
79449662,15771
76786233,15772
76507782,15773
79456596,15778
79177655,15788
75740553,15794
74279723,15798
74435752,15802
79153737,15803
76324536,15805
76913110,15807
74996365,15808
76137935,15809
75872903,15812
76864697,15817
76176799,15829
74370090,15839
79249268,15840
74543549,15842
75539428,15843
76224992,15845
75702812,15849
76967592,15853
75443570,15857
75090363,15859
76875615,15861
75190989,15862
75461207,15863
77157057,15869
74375211,15883
78905310,15886
74237084,15889
77125039,15892
110017619,16389
110408900,16391
110028274,16394
110198382,16395
110350621,16398
75577217,16434
75047749,16445
76279832,16446
93740393,16464
112635200,16483
81798018,16487
81627788,16522
81372873,16525
80946602,16532
81069175,16533
81060970,16536
81514744,16553
81656827,16560
115369698,16561
81372663,16564
81457359,16568
80946492,16586
140168564,16596
75610310,16602
74645850,16606
74875966,16609
76211384,16622
75487861,16632
74547303,16633
75774568,16636
109994794,16638
76132085,16640
75886562,16641
75519024,16646
76287235,16655
75607868,16657
76080094,16658
79034511,16662
74375042,16664
75899206,16666
76473782,16668
74423493,16669
77100009,16671
74330863,16672
75944204,16674
77095013,16675
75400786,16676
74877726,16679
76263406,16682
74390508,16683
76818195,16687
79444566,16691
75584830,16695
79255978,16700
75068112,16702
74483430,16709
81214588,16713
76859248,16721
115345645,16729
81530347,16734
74533676,16751
79514967,16753
77136561,16761
110128304,16766
76021553,16772
75390655,16773
74473306,16783
174038262,16786
75525832,16788
76272783,16793
77044119,16795
79118873,16799
75472079,16815
75322194,16820
79235829,16823
76679393,16824
75591463,16828
75851932,16832
76285772,16833
75396204,16843
81246893,16855
75970780,16861
75246720,16862
81387285,16868
74397854,16871
76706283,16883
81554154,16884
80944581,16885
81095628,16889
81180652,16897
81510272,16898
81631170,16899
93714206,16917
112651182,16991
110313517,16994
210366209,17041
238127759,17065
110063832,17104
112764906,17109
110026266,17112
110151109,17121
110430503,17126
203030127,17147
179159642,17148
214985276,17200
210315781,17860
210296267,17864
230149151,17866
238030993,17871
243377149,17874
243663569,17876
76760460,17913
75583195,17922
243443308,18949
243262921,18950
243444177,18952
243374489,18954
174543541,18990
215170534,19011
216132227,19023
215049819,19040
215233094,19051
214854794,19056
215226067,19083
222753425,19119
215083088,19123
214861795,19131
214827265,19134
214929042,19135
210123501,19169
214879734,19193
215022719,19198
214952173,19209
218155312,19225
217887543,19226
218068120,19235
222896448,19251
222897487,19256
222763712,19265
222886314,19266
222851048,19273
230314491,19274
230463455,19281
230102050,19283
230022499,19302
230080984,19310
229986505,19313
230083753,19324
230229908,19332
230300606,19337
230385369,19342
230600253,19344
230281498,19345
235426425,19348
236541930,19359
238199493,19365
238150367,19366
239423526,19374
