*Action(SiteID=eBayMotors|Country=US|Currency=USD|Version=403|CC=UTF-8),ItemID,Relationship,RelationshipDetails
Revise,22616
,,Compatibility,"Year=1992|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); GA, GS; SOHC; VIN: 3, MFI, Natural; Catalytic Converter"
,,Compatibility,"Year=1992|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1990|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1993|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1993|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1990|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1989|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); SOHC; VIN: 3, TBI, Natural; Catalytic Converter"
,,Compatibility,"Year=1993|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS DOHC Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); GA, GS; SOHC; VIN: 3, MFI, Natural; Catalytic Converter"
,,Compatibility,"Year=1992|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1990|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; Base, GA, GL, L, S; Direct-Fit 49 State (Exc CA); SOHC; VIN: 3, MFI, Natural; Catalytic Converter"
,,Compatibility,"Year=1989|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1991|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1989|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1991|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1991|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS DOHC Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); SOHC; VIN: 3, MFI, Natural; Catalytic Converter"
,,Compatibility,"Year=1992|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1990|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1994|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS DOHC Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); SOHC; VIN: 3, MFI, Natural; Catalytic Converter"
,,Compatibility,"Year=1989|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1992|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); GA, GS; SOHC; VIN: 3, TBI, Natural; Catalytic Converter"
,,Compatibility,"Year=1993|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1993|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1993|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1991|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); SOHC; VIN: 3, TBI, Natural; Catalytic Converter"
,,Compatibility,"Year=1992|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1990|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1991|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1994|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1990|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; Base, GA, GL, L, S; Direct-Fit 49 State (Exc CA); SOHC; VIN: 3, TBI, Natural; Catalytic Converter"
,,Compatibility,"Year=1992|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS DOHC Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); GA, GS; SOHC; VIN: 3, TBI, Natural; Catalytic Converter"
,,Compatibility,"Year=1993|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); GA, GS; SOHC; VIN: 3, TBI, Natural; Catalytic Converter"
,,Compatibility,"Year=1990|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; Base, GA, GL, L, S; Direct-Fit 49 State (Exc CA); SOHC; VIN: 3, TBI, Natural; Catalytic Converter"
,,Compatibility,"Year=1991|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
